label,processed_text
0,"['didnt', 'feel', 'humiliated']"
0,"['go', 'feeling', 'hopeless', 'damned', 'hopeful', 'around', 'someone', 'care', 'awake']"
3,"['im', 'grabbing', 'minute', 'post', 'feel', 'greedy', 'wrong']"
2,"['ever', 'feeling', 'nostalgic', 'fireplace', 'know', 'still', 'property']"
3,"['feeling', 'grouchy']"
0,"['ive', 'feeling', 'little', 'burdened', 'lately', 'wasnt', 'sure', 'wa']"
5,"['ive', 'taking', 'milligram', 'time', 'recommended', 'amount', 'ive', 'fallen', 'asleep', 'lot', 'faster', 'also', 'feel', 'like', 'funny']"
4,"['feel', 'confused', 'life', 'teenager', 'jaded', 'year', 'old', 'man']"
1,"['petronas', 'year', 'feel', 'petronas', 'ha', 'performed', 'well', 'made', 'huge', 'profit']"
2,"['feel', 'romantic']"
0,"['feel', 'like', 'make', 'suffering', 'seeing', 'mean', 'something']"
1,"['feel', 'running', 'divine', 'experience', 'expect', 'type', 'spiritual', 'encounter']"
3,"['think', 'easiest', 'time', 'year', 'feel', 'dissatisfied']"
0,"['feel', 'low', 'energy', 'thirsty']"
1,"['immense', 'sympathy', 'general', 'point', 'possible', 'proto', 'writer', 'trying', 'find', 'time', 'write', 'corner', 'life', 'sign', 'agent', 'let', 'alone', 'publishing', 'contract', 'feel', 'little', 'precious']"
1,"['feel', 'reassured', 'anxiety', 'side']"
0,"['didnt', 'really', 'feel', 'embarrassed']"
0,"['feel', 'pretty', 'pathetic', 'time']"
0,"['started', 'feeling', 'sentimental', 'doll', 'child', 'began', 'collection', 'vintage', 'barbie', 'doll', 'sixty']"
4,"['feel', 'compromised', 'skeptical', 'value', 'every', 'unit', 'work', 'put']"
3,"['feel', 'irritated', 'rejected', 'without', 'anyone', 'anything', 'saying', 'anything']"
4,"['feeling', 'completely', 'overwhelmed', 'two', 'strategy', 'help', 'feel', 'grounded', 'pour', 'heart', 'journal', 'form', 'letter', 'god', 'end', 'list', 'five', 'thing', 'grateful']"
1,"['feeling', 'wa', 'amused', 'delighted']"
1,"['wa', 'able', 'help', 'chai', 'lifeline', 'support', 'encouragement', 'great', 'feeling', 'glad', 'able', 'help']"
3,"['already', 'feel', 'like', 'fucked', 'though', 'dont', 'usually', 'eat', 'morning']"
0,"['still', 'love', 'wish', 'best', 'longer', 'tolerate', 'effect', 'bm', 'ha', 'life', 'fact', 'ha', 'turned', 'bitter', 'angry', 'person', 'always', 'particularly', 'kind', 'people', 'around', 'feeling', 'stressed']"
0,"['feel', 'inhibited', 'someone', 'elses', 'kitchen', 'like', 'im', 'painting', 'someone', 'elses', 'picture']"
0,"['become', 'overwhelmed', 'feel', 'defeated']"
3,"['feel', 'kinda', 'appalled', 'feel', 'like', 'need', 'explain', 'wide', 'lenghth', 'body', 'measure', 'etc', 'pp']"
1,"['feel', 'superior', 'dead', 'chicken', 'grieving', 'child']"
1,"['get', 'giddy', 'feeling', 'elegant', 'perfectly', 'fitted', 'pencil', 'skirt']"
4,"['remember', 'feeling', 'acutely', 'distressed', 'day']"
5,"['seen', 'heard', 'read', 'past', 'couple', 'day', 'left', 'feeling', 'impressed', 'company']"
3,"['climbed', 'hill', 'feeling', 'frustrated', 'id', 'pretty', 'much', 'paced', 'entirely', 'wrong', 'course', 'factor', 'ha', 'never', 'ever', 'hampered', 'made', 'dent', 'day']"
1,"['imagine', 'real', 'life', 'scenario', 'would', 'emotionally', 'connected', 'enough', 'someone', 'feel', 'totally', 'accepted', 'safe', 'morally', 'acceptable', 'close', 'prolonged', 'physical', 'contact', 'sex', 'expected', 'subsequently']"
1,"['sure', 'would', 'make', 'feel', 'content', 'anything']"
1,"['feeling', 'need', 'creative']"
1,"['however', 'want', 'know', 'something', 'someone', 'causing', 'feel', 'less', 'splendid', 'self', 'step', 'away']"
3,"['feel', 'bit', 'rude', 'writing', 'elderly', 'gentleman', 'ask', 'gift', 'feel', 'bit', 'greedy', 'christmas', 'mild', 'greed']"
1,"['need', 'need', 'someone', 'need', 'protected', 'feel', 'safe', 'small', 'find', 'season', 'word']"
1,"['plan', 'share', 'everyday', 'life', 'story', 'traveling', 'adventure', 'inspiration', 'handmade', 'creation', 'hope', 'also', 'feel', 'inspired']"
1,"['already', 'christmas', 'tree', 'got', 'two', 'feeling', 'festive', 'sure', 'spurring', 'get', 'started', 'book']"
1,"['ive', 'worn', 'little', 'concealer', 'day', 'im', 'feeling', 'brave', 'dont', 'want', 'pale', 'perfect']"
1,"['feel', 'strongly', 'passionate', 'jerk', 'decides', 'poke', 'make', 'fun', 'u']"
